"","Location","Sample_MSB","Sample_AM","Sample_NK","lat","lon","Bulk_soil_density","Sand_content","Clay_content","Silt_content","Organic_content","Museum_num","Species_name","Lat","Long","Hind_foot_length"
"91","1K.E.ISCAYACHI","MSB57190","","",-21.4833,-64.95,1.39999997615814,40,36,24,11.6000003814697,"AM263023","Ctenomys lewisi",-21.48333,-64.95,45
"92","1K.E.ISCAYACHI","MSB57190","","",-21.4833,-64.95,1.39999997615814,40,36,24,11.6000003814697,"MSB57187","Ctenomys lewisi",-21.48333,-64.95,43
"93","22KM SW SACRUZ","MSB55365","","",-17.95,-63.3,1.29999995231628,52,29,19,17.2000007629395,"AM260824","Ctenomys boliviensis",-17.95,-63.3,43
"94","22KM SW SACRUZ","MSB55365","","",-17.95,-63.3,1.29999995231628,52,29,19,17.2000007629395,"MSB55366","Ctenomys boliviensis",-17.95,-63.3,43
"95","22KM SW SACRUZ","MSB55365","","",-17.95,-63.3,1.29999995231628,52,29,19,17.2000007629395,"MSB55363","Ctenomys boliviensis",-17.95,-63.3,44
"96","22KM SW SACRUZ","MSB55365","","",-17.95,-63.3,1.29999995231628,52,29,19,17.2000007629395,"MSB55364","Ctenomys boliviensis",-17.95,-63.3,44
"97","22KM SW SACRUZ","MSB55365","","",-17.95,-63.3,1.29999995231628,52,29,19,17.2000007629395,"AM260825","Ctenomys boliviensis",-17.95,-63.3,42
"98","22KM SW SACRUZ","MSB55365","","",-17.95,-63.3,1.29999995231628,52,29,19,17.2000007629395,"AM260821","Ctenomys boliviensis",-17.95,-63.3,43
"99","22KM SW SACRUZ","MSB55365","","",-17.95,-63.3,1.29999995231628,52,29,19,17.2000007629395,"AM260822","Ctenomys boliviensis",-17.95,-63.3,41
"100","22KM SW SACRUZ","MSB55365","","",-17.95,-63.3,1.29999995231628,52,29,19,17.2000007629395,"AM260823","Ctenomys boliviensis",-17.95,-63.3,41
"101","22KM SW SACRUZ","MSB55365","","",-17.95,-63.3,1.29999995231628,52,29,19,17.2000007629395,"MSB55365","Ctenomys boliviensis",-17.95,-63.3,41
"102","2K.S.BUENA-V","","","NK15231",-17.4667,-63.68333,1.29999995231628,52,27,21,16.6000003814697,"MSB","Ctenomys steinbachi",-17.46667,-63.68333,43
"103","2K.S.BUENA-V","","","NK15231",-17.4667,-63.68333,1.29999995231628,52,27,21,16.6000003814697,"MSB","Ctenomys steinbachi",-17.46667,-63.68333,40
"104","2K.S.BUENA-V","","","NK15231",-17.4667,-63.68333,1.29999995231628,52,27,21,16.6000003814697,"MSB","Ctenomys steinbachi",-17.46667,-63.68333,42
"105","2K.S.BUENA-V","","","NK15231",-17.4667,-63.68333,1.29999995231628,52,27,21,16.6000003814697,"MSB","Ctenomys steinbachi",-17.46667,-63.68333,42
"106","2K.S.BUENA-V","","","NK15231",-17.4667,-63.68333,1.29999995231628,52,27,21,16.6000003814697,"MSB","Ctenomys steinbachi",-17.46667,-63.68333,53
"107","2K.S.BUENA-V","","","NK15231",-17.4667,-63.68333,1.29999995231628,52,27,21,16.6000003814697,"MSB","Ctenomys steinbachi",-17.46667,-63.68333,43
"108","2K.S.BUENA-V","","","NK15231",-17.4667,-63.68333,1.29999995231628,52,27,21,16.6000003814697,"MSB","Ctenomys steinbachi",-17.46667,-63.68333,45
"109","2K.S.BUENA-V","","","NK15231",-17.4667,-63.68333,1.29999995231628,52,27,21,16.6000003814697,"MSB","Ctenomys steinbachi",-17.46667,-63.68333,46
"110","2K.S.BUENA-V","","","NK15231",-17.4667,-63.68333,1.29999995231628,52,27,21,16.6000003814697,"MSB","Ctenomys steinbachi",-17.46667,-63.68333,35
"111","2K.S.BUENA-V","","","NK15231",-17.4667,-63.68333,1.29999995231628,52,27,21,16.6000003814697,"MSB","Ctenomys steinbachi",-17.46667,-63.68333,40
"112","2K.S.BUENA-V","","","NK15231",-17.4667,-63.68333,1.29999995231628,52,27,21,16.6000003814697,"MSB","Ctenomys steinbachi",-17.46667,-63.68333,42
"113","2K.S.BUENA-V","","","NK15231",-17.4667,-63.68333,1.29999995231628,52,27,21,16.6000003814697,"MSB","Ctenomys steinbachi",-17.46667,-63.68333,46
"114","2K.S.CARANDA","","","NK15244",-17.55,-63.53333,1.29999995231628,56,25,19,15.3000001907349,"MSB","Ctenomys steinbachi",-17.55,-63.53333,36
"115","2K.S.CARANDA","","","NK15244",-17.55,-63.53333,1.29999995231628,56,25,19,15.3000001907349,"MSB","Ctenomys steinbachi",-17.55,-63.53333,40
"116","2K.S.CARANDA","","","NK15244",-17.55,-63.53333,1.29999995231628,56,25,19,15.3000001907349,"MSB","Ctenomys steinbachi",-17.55,-63.53333,43
"117","2K.S.CARANDA","","","NK15244",-17.55,-63.53333,1.29999995231628,56,25,19,15.3000001907349,"MSB","Ctenomys steinbachi",-17.55,-63.53333,45
"118","2K.S.CARANDA","","","NK15244",-17.55,-63.53333,1.29999995231628,56,25,19,15.3000001907349,"MSB","Ctenomys steinbachi",-17.55,-63.53333,49
"119","2K.S.CARANDA","","","NK15244",-17.55,-63.53333,1.29999995231628,56,25,19,15.3000001907349,"MSB","Ctenomys steinbachi",-17.55,-63.53333,44
"120","2K.S.CARANDA","","","NK15244",-17.55,-63.53333,1.29999995231628,56,25,19,15.3000001907349,"MSB","Ctenomys steinbachi",-17.55,-63.53333,39
"121","2K.S.CARANDA","","","NK15244",-17.55,-63.53333,1.29999995231628,56,25,19,15.3000001907349,"MSB","Ctenomys steinbachi",-17.55,-63.53333,37
"122","2K.S.CARANDA","","","NK15244",-17.55,-63.53333,1.29999995231628,56,25,19,15.3000001907349,"MSB","Ctenomys steinbachi",-17.55,-63.53333,43
"123","2K.S.CARANDA","","","NK15244",-17.55,-63.53333,1.29999995231628,56,25,19,15.3000001907349,"MSB","Ctenomys steinbachi",-17.55,-63.53333,43
"124","3.5KE.HUANC","MSB57198","","",-17.6667,-67.45,1.29999995231628,47,22,30,12.1000003814697,"AM263037","Ctenomys opimus",-17.66667,-67.45,38
"125","3.5KE.HUANC","MSB57198","","",-17.6667,-67.45,1.29999995231628,47,22,30,12.1000003814697,"AM263038","Ctenomys opimus",-17.66667,-67.45,47
"126","3.5KE.HUANC","MSB57198","","",-17.6667,-67.45,1.29999995231628,47,22,30,12.1000003814697,"AM263039","Ctenomys opimus",-17.66667,-67.45,47.5
"127","3.5KE.HUANC","MSB57198","","",-17.6667,-67.45,1.29999995231628,47,22,30,12.1000003814697,"AM263035","Ctenomys opimus",-17.66667,-67.45,46
