Museum_num,Species_name,Location,Lat,Long,Hind_foot_length,Bulk_soil_density,Sand_content,Clay_content,Silt_content,Organic_content
MSB,Ctenomys boliviensis,15KMS.SAN.CRUZ,-17.55,-63.08,48,,,,,
MSB,Ctenomys boliviensis,15KMS.SAN.CRUZ,-17.55,-63.08,48,,,,,
MSB,Ctenomys boliviensis,15KMS.SAN.CRUZ,-17.55,-63.08,49,,,,,
MSB,Ctenomys boliviensis,15KMS.SAN.CRUZ,-17.55,-63.08,55,,,,,
AM260822,Ctenomys boliviensis,22KM SW SACRUZ,-17.95,-63.3,41,,,,,
AM260823,Ctenomys boliviensis,22KM SW SACRUZ,-17.95,-63.3,41,,,,,
MSB55365,Ctenomys boliviensis,22KM SW SACRUZ,-17.95,-63.3,41,,,,,
AM260825,Ctenomys boliviensis,22KM SW SACRUZ,-17.95,-63.3,42,,,,,
AM260821,Ctenomys boliviensis,22KM SW SACRUZ,-17.95,-63.3,43,,,,,
AM260824,Ctenomys boliviensis,22KM SW SACRUZ,-17.95,-63.3,43,,,,,
MSB55366,Ctenomys boliviensis,22KM SW SACRUZ,-17.95,-63.3,43,,,,,
MSB55363,Ctenomys boliviensis,22KM SW SACRUZ,-17.95,-63.3,44,,,,,
MSB55364,Ctenomys boliviensis,22KM SW SACRUZ,-17.95,-63.3,44,,,,,
AM260807,Ctenomys boliviensis,3.5KMW.ES.PAIL,-17.65,-62.75,37,,,,,
MSB55359,Ctenomys boliviensis,3.5KMW.ES.PAIL,-17.65,-62.75,37,,,,,
AM260809,Ctenomys boliviensis,3.5KMW.ES.PAIL,-17.65,-62.75,39,,,,,
AM260810,Ctenomys boliviensis,3.5KMW.ES.PAIL,-17.65,-62.75,40,,,,,
AM260811,Ctenomys boliviensis,3.5KMW.ES.PAIL,-17.65,-62.75,40,,,,,
AM260814,Ctenomys boliviensis,3.5KMW.ES.PAIL,-17.65,-62.75,40,,,,,
AM260805,Ctenomys boliviensis,3.5KMW.ES.PAIL,-17.65,-62.75,41,,,,,
AM260808,Ctenomys boliviensis,3.5KMW.ES.PAIL,-17.65,-62.75,41,,,,,
AM260813,Ctenomys boliviensis,3.5KMW.ES.PAIL,-17.65,-62.75,44,,,,,
AM260815,Ctenomys boliviensis,3.5KMW.ES.PAIL,-17.65,-62.75,44,,,,,
MSB55356,Ctenomys boliviensis,3.5KMW.ES.PAIL,-17.65,-62.75,44,,,,,
MSB55358,Ctenomys boliviensis,3.5KMW.ES.PAIL,-17.65,-62.75,44,,,,,
AM260806,Ctenomys boliviensis,3.5KMW.ES.PAIL,-17.65,-62.75,45,,,,,
MSB55357,Ctenomys boliviensis,3.5KMW.ES.PAIL,-17.65,-62.75,45,,,,,
AM260804,Ctenomys boliviensis,3.5KMW.ES.PAIL,-17.65,-62.75,46,,,,,
AM260812,Ctenomys boliviensis,3.5KMW.ES.PAIL,-17.65,-62.75,46,,,,,
AM260817,Ctenomys boliviensis,9KN10KW.ROBERE,-18.14,-59.51,38,,,,,
MSB55360,Ctenomys boliviensis,9KN10KW.ROBERE,-18.14,-59.51,40,,,,,
MSB55361,Ctenomys boliviensis,9KN10KW.ROBERE,-18.14,-59.51,40,,,,,
AM262818,Ctenomys boliviensis,9KN10KW.ROBERE,-18.14,-59.51,45,,,,,
MSB55380,Ctenomys boliviensis,EST.CA.ESPER,-16.78333,-63.2333,41,,,,,
AM260802,Ctenomys boliviensis,EST.CA.ESPER,-16.78333,-63.2333,43,,,,,
AM260803,Ctenomys boliviensis,EST.CA.ESPER,-16.78333,-63.2333,44,,,,,
MSB55379,Ctenomys boliviensis,EST.CA.ESPER,-16.78333,-63.2333,44,,,,,
AM260801,Ctenomys boliviensis,EST.CA.ESPER,-16.78333,-63.2333,45,,,,,
MSB55355,Ctenomys boliviensis,EST.CA.ESPER,-16.78333,-63.2333,47,,,,,
MSB63379,Ctenomys boliviensis,SC Santa Rosa,-15.5,-61.27,42,,,,,
MNKN621,Ctenomys boliviensis,SC Santa Rosa,-15.5,-61.27,35,,,,,
MSB63380,Ctenomys boliviensis,SC Santa Rosa,-15.5,-61.27,37,,,,,
MNKN624,Ctenomys boliviensis,SC Santa Rosa,-15.5,-61.27,40,,,,,
AM263920,Ctenomys boliviensis,SC Santa Rosa,-15.5,-61.27,41,,,,,
AM263921,Ctenomys boliviensis,SC Santa Rosa,-15.5,-61.27,33,,,,,
AM262291,Ctenomys conoveri,CARANDATYI,-20.75,-63.01667,54,,,,,
MSB56088,Ctenomys conoveri,CARANDATYI,-20.75,-63.01667,60,,,,,
AM262292,Ctenomys conoveri,CARANDAYTI,-20.75,-63.01667,49,,,,,
AM262290,Ctenomys conoveri,CARANDAYTI,-20.75,-63.01667,62,,,,,
CBF1160,Ctenomys erikacuellarae,Chuhuayaco,-19.43,-63.51,30,,,,,
CBF1105,Ctenomys erikacuellarae,Chuhuayaco,-19.43,-63.51,30,,,,,
AM263930,Ctenomys erikacuellarae,Chuhuayaco,-19.43,-63.51,32,,,,,
AM263928,Ctenomys erikacuellarae,Chuhuayaco,-19.43,-63.51,32.5,,,,,
AM263924,Ctenomys erikacuellarae,Chuhuayaco,-19.43,-63.51,33,,,,,
CBF2655,Ctenomys erikacuellarae,Chuhuayaco,-19.43,-63.51,34,,,,,
AM263925,Ctenomys erikacuellarae,Chuhuayaco,-19.43,-63.51,34,,,,,
CBF1164,Ctenomys erikacuellarae,Chuhuayaco,-19.43,-63.51,35,,,,,
CBF1102,Ctenomys erikacuellarae,Chuhuayaco,-19.43,-63.51,35,,,,,
CBF2656,Ctenomys erikacuellarae,Chuhuayaco,-19.43,-63.51,35,,,,,
MSB63507,Ctenomys erikacuellarae,Chuhuayaco,-19.43,-63.51,35,,,,,
AM263929,Ctenomys erikacuellarae,Chuhuayaco,-19.43,-63.51,35,,,,,
MSB63395,Ctenomys erikacuellarae,Chuhuayaco,-19.43,-63.51,35,,,,,
AM263922,Ctenomys erikacuellarae,Chuhuayaco,-19.43,-63.51,36,,,,,
AM263927,Ctenomys erikacuellarae,Chuhuayaco,-19.43,-63.51,37,,,,,
MSB63508,Ctenomys erikacuellarae,Chuhuayaco,-19.43,-63.51,37,,,,,
CBF2657,Ctenomys erikacuellarae,Chuhuayaco,-19.43,-63.51,37,,,,,
CBF1098,Ctenomys erikacuellarae,Chuhuayaco,-19.43,-63.51,38,,,,,
MSB63394,Ctenomys erikacuellarae,Chuhuayaco,-19.43,-63.51,39,,,,,
MSB63391,Ctenomys erikacuellarae,Chuhuayaco,-19.43,-63.51,41,,,,,
CBF1099,Ctenomys erikacuellarae,Chuhuayaco,-19.43,-63.51,41,,,,,
AM263923,Ctenomys erikacuellarae,Chuhuayaco,-19.43,-63.51,41,,,,,
AM263926,Ctenomys erikacuellarae,Chuhuayaco,-19.43,-63.51,43,,,,,
MSB63382,Ctenomys erikacuellarae,Monteagudo,-18.19,-59.34,30,,,,,
MSB63384,Ctenomys erikacuellarae,Monteagudo,-18.19,-59.34,33,,,,,
CBF1093,Ctenomys erikacuellarae,Monteagudo,-18.19,-59.34,34,,,,,
AM263949,Ctenomys erikacuellarae,Monteagudo,-18.19,-59.34,34,,,,,
CBF1101,Ctenomys erikacuellarae,Monteagudo,-18.19,-59.34,35,,,,,
AM263948,Ctenomys erikacuellarae,Monteagudo,-18.19,-59.34,35,,,,,
CBF2654,Ctenomys erikacuellarae,Monteagudo,-18.19,-59.34,35,,,,,
MSB63383,Ctenomys erikacuellarae,Monteagudo,-18.19,-59.34,36,,,,,
AM263943,Ctenomys erikacuellarae,Monteagudo,-18.19,-59.34,36,,,,,
MSB63392,Ctenomys erikacuellarae,Monteagudo,-18.19,-59.34,36,,,,,
MSB63393,Ctenomys erikacuellarae,Monteagudo,-18.19,-59.34,36,,,,,
AM263947,Ctenomys erikacuellarae,Monteagudo,-18.19,-59.34,36,,,,,
AM263945,Ctenomys erikacuellarae,Monteagudo,-18.19,-59.34,36.5,,,,,
CBF1097,Ctenomys erikacuellarae,Monteagudo,-18.19,-59.34,37,,,,,
MSB63381,Ctenomys erikacuellarae,Monteagudo,-18.19,-59.34,37,,,,,
CBF1109,Ctenomys erikacuellarae,Monteagudo,-18.19,-59.34,37,,,,,
MSB63510,Ctenomys erikacuellarae,Monteagudo,-18.19,-59.34,38,,,,,
CBF1100,Ctenomys erikacuellarae,Monteagudo,-18.19,-59.34,38,,,,,
CBF1094,Ctenomys erikacuellarae,Monteagudo,-18.19,-59.34,38,,,,,
AM263951,Ctenomys erikacuellarae,Monteagudo,-18.19,-59.34,38,,,,,
AM263952,Ctenomys erikacuellarae,Monteagudo,-18.19,-59.34,38,,,,,
AM263950,Ctenomys erikacuellarae,Monteagudo,-18.19,-59.34,39,,,,,
AM263944,Ctenomys erikacuellarae,Monteagudo,-18.19,-59.34,40,,,,,
AM263953,Ctenomys erikacuellarae,Monteagudo,-18.19,-59.34,40,,,,,
AM263946,Ctenomys erikacuellarae,Monteagudo,-18.19,-59.34,42,,,,,
CBF1182,Ctenomys erikacuellarae,Monteagudo,-18.19,-59.34,44,,,,,
CBF1108,Ctenomys erikacuellarae,Monteagudo,-18.19,-59.34,44,,,,,
AM264553,Ctenomys erikacuellarae,Vallegrande,-18.28,-64.08,28,,,,,
MNK1733 ,Ctenomys erikacuellarae,Vallegrande,-18.28,-64.08,33,,,,,
AM264554,Ctenomys erikacuellarae,Vallegrande,-18.28,-64.08,34,,,,,
AM264555,Ctenomys erikacuellarae,Vallegrande,-18.28,-64.08,34,,,,,
MSB67103,Ctenomys erikacuellarae,Vallegrande,-18.28,-64.08,34,,,,,
AM264549,Ctenomys erikacuellarae,Vallegrande,-18.28,-64.08,35,,,,,
AM264556,Ctenomys erikacuellarae,Vallegrande,-18.28,-64.08,35,,,,,
MSB67105,Ctenomys erikacuellarae,Vallegrande,-18.28,-64.08,35,,,,,
MSB67104,Ctenomys erikacuellarae,Vallegrande,-18.28,-64.08,36,,,,,
AM264548,Ctenomys erikacuellarae,Vallegrande,-18.28,-64.08,37,,,,,
AM264551,Ctenomys erikacuellarae,Vallegrande,-18.28,-64.08,37,,,,,
MSB67413,Ctenomys erikacuellarae,Vallegrande,-18.28,-64.08,37,,,,,
MNK1734 ,Ctenomys erikacuellarae,Vallegrande,-18.28,-64.08,37,,,,,
AM264550,Ctenomys erikacuellarae,Vallegrande,-18.28,-64.08,38,,,,,
MNK1729 ,Ctenomys erikacuellarae,Vallegrande,-18.28,-64.08,38,,,,,
AM264552,Ctenomys erikacuellarae,Vallegrande,-18.28,-64.08,39,,,,,
MNK1735 ,Ctenomys erikacuellarae,Vallegrande,-18.28,-64.08,39,,,,,
MSB67362,Ctenomys erikacuellarae,Vallegrande,-18.28,-64.08,40,,,,,
MNK620 ,Ctenomys erikacuellarae,Vallegrande,-18.28,-64.08,41,,,,,
AM263012,Ctenomys frater,8K.W.RAN. TAMBO,-21.46667,-64.26667,32,,,,,
AM263011,Ctenomys frater,8K.W.RAN. TAMBO,-21.46667,-64.26667,35,,,,,
AM263010,Ctenomys frater,8K.W.RAN. TAMBO,-21.46667,-64.26667,36,,,,,
MSB57188,Ctenomys frater,8K.W.RAN.TAMBO,-21.46667,-64.26667,32,,,,,
MSB57191,Ctenomys frater,8K.W.RAN.TAMBO,-21.46667,-64.26667,38,,,,,
AM264561,Ctenomys frater,Tarija,-21.26,-63.55,33,,,,,
MSB87079,Ctenomys frater,Tarija,-21.26,-63.55,22,,,,,
MSB87078,Ctenomys frater,Tarija,-21.26,-63.55,32,,,,,
MSB87077,Ctenomys frater,Tarija,-21.26,-63.55,31,,,,,
MSB67112,Ctenomys lessai,Lluthu Pampa,-17.45,-64.59,27,,,,,
AM264558,Ctenomys lessai,Lluthu Pampa,-17.45,-64.59,28,,,,,
MSB87076,Ctenomys lessai,Lluthu Pampa,-17.45,-64.59,32,,,,,
AM264559,Ctenomys lessai,Lluthu Pampa,-17.45,-64.59,32,,,,,
AM264560,Ctenomys lessai,Lluthu Pampa,-17.45,-64.59,32,,,,,
MSB67111,Ctenomys lessai,Lluthu Pampa,-17.45,-64.59,33,,,,,
MNKN ,Ctenomys lessai,Lluthu Pampa,-17.45,-64.59,34,,,,,
AM264557,Ctenomys lessai,Lluthu Pampa,-17.45,-64.59,34,,,,,
MNKN ,Ctenomys lessai,Lluthu Pampa,-17.45,-64.59,37,,,,,
AM263029,Ctenomys leucodon,14KSWSAND.MACH,-17,-69.06667,27,,,,,
MSB57192,Ctenomys leucodon,14KSWSAND.MACH,-17,-69.06667,33,,,,,
AM263028,Ctenomys leucodon,14KSWSAND.MACH,-17,-69.06667,34,,,,,
AM263018,Ctenomys lewisi,1K.E.ISCAYACHI,-21.48333,-64.95,31,,,,,
AM263016,Ctenomys lewisi,1K.E.ISCAYACHI,-21.48333,-64.95,34,,,,,
AM263020,Ctenomys lewisi,1K.E.ISCAYACHI,-21.48333,-64.95,35,,,,,
AM263017,Ctenomys lewisi,1K.E.ISCAYACHI,-21.48333,-64.95,36,,,,,
MSB57190,Ctenomys lewisi,1K.E.ISCAYACHI,-21.48333,-64.95,37,,,,,
MSB57186,Ctenomys lewisi,1K.E.ISCAYACHI,-21.48333,-64.95,40,,,,,
MSB57193,Ctenomys lewisi,1K.E.ISCAYACHI,-21.48333,-64.95,40,,,,,
AM263015,Ctenomys lewisi,1K.E.ISCAYACHI,-21.48333,-64.95,40,,,,,
AM263019,Ctenomys lewisi,1K.E.ISCAYACHI,-21.48333,-64.95,40,,,,,
MSB57189,Ctenomys lewisi,1K.E.ISCAYACHI,-21.48333,-64.95,41,,,,,
AM263021,Ctenomys lewisi,1K.E.ISCAYACHI,-21.48333,-64.95,41,,,,,
MSB57187,Ctenomys lewisi,1K.E.ISCAYACHI,-21.48333,-64.95,43,,,,,
AM263026,Ctenomys lewisi,1K.E.ISCAYACHI,-21.48333,-64.95,43,,,,,
AM263023,Ctenomys lewisi,1K.E.ISCAYACHI,-21.48333,-64.95,45,,,,,
AM263024,Ctenomys lewisi,1K.E.ISCAYACHI,-21.48333,-64.95,45,,,,,
AM263037,Ctenomys opimus,3.5KE.HUANC,-17.66667,-67.45,38,,,,,
AM263036,Ctenomys opimus,3.5KE.HUANC,-17.66667,-67.45,43,,,,,
AM263035,Ctenomys opimus,3.5KE.HUANC,-17.66667,-67.45,46,,,,,
AM263038,Ctenomys opimus,3.5KE.HUANC,-17.66667,-67.45,47,,,,,
AM263039,Ctenomys opimus,3.5KE.HUANC,-17.66667,-67.45,47.5,,,,,
MSB57198,Ctenomys opimus,3.5KE.HUANC.,-17.66667,-67.45,39,,,,,
MSB57199,Ctenomys opimus,3.5KE.HUANC.,-17.66667,-67.45,40,,,,,
MSB57200,Ctenomys opimus,3.5KE.HUANC.,-17.66667,-67.45,46,,,,,
MSB57195,Ctenomys opimus,7KS.4KE.CRUC.V,-19.13333,-66.11667,39,,,,,
MSB57196,Ctenomys opimus,7KS.4KE.CRUC.V,-19.13333,-66.11667,41,,,,,
MSB57194,Ctenomys opimus,7KS.4KE.CRUC.V,-19.13333,-66.11667,47,,,,,
AM263030,Ctenomys opimus,7KS.4KE.CRUC.V,-19.13333,-66.11667,36.5,,,,,
AM263031,Ctenomys opimus,7KS.4KE.CRUC.V,-19.13333,-66.11667,36.5,,,,,
AM263034,Ctenomys opimus,7KS.4KE.CRUC.V,-19.13333,-66.11667,37,,,,,
AM263033,Ctenomys opimus,7KS.4KE.CRUC.V,-19.13333,-66.11667,38,,,,,
AM260842,Ctenomys opimus,HUANCAROMA,-17.66667,-67.45,39,,,,,
AM260846,Ctenomys opimus,HUANCAROMA,-17.66667,-67.45,39,,,,,
AM260850,Ctenomys opimus,HUANCAROMA,-17.66667,-67.45,39,,,,,
MSB55374,Ctenomys opimus,HUANCAROMA,-17.66667,-67.45,40,,,,,
MSB55375,Ctenomys opimus,HUANCAROMA,-17.66667,-67.45,40,,,,,
